surveyid,village,survey_date,femaleres,age,married,children,hhsize,edu,hh_children,cons_nondurable,asset_livestock,asset_durable,asset_phone,asset_savings,asset_land_owned_total,asset_niceroof,cons_allfood,cons_ownfood,cons_alcohol,cons_tobacco,depressed
1374,267,19-Nov-61,1,32,1,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
379,22,18-Oct-61,1,26,1,2,4,7,2,91.581612,8.2606287,204.19597,32.030739,0,0.75,0,78.061966,4.2707653,0,0,0
1001,207,28-Nov-61,1,40,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1
1356,198,1-Nov-61,1,55,0,0,1,6,0,144.12576,171.42671,83.440079,0,2.4023056,1,0,79.759979,0.48046109,0,4.8846879,1
137,9,21-Jul-60,1,34,1,3,5,10,3,202.22415,0,190.5829,32.030739,0,0,0,153.51875,0,0,0,0
840,102,7-Nov-61,1,43,1,4,9,4,4,270.13641,12.390944,189.78214,32.030739,8.0076847,3,0,232.31343,36.581776,0,0,1
309,25,12-Sep-61,1,51,1,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1
1078,164,22-Sep-61,1,28,1,3,5,10,3,157.60114,756.96259,466.04727,40.038425,0,2.5,0,149.00624,24.957283,0,0,0
519,50,6-Dec-61,1,53,1,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,69,20-Oct-61,1,26,1,3,5,11,3,144.26799,37.172832,271.46051,40.038425,0,2,0,82.341881,6.0057635,0,0,0
1324,281,15-Nov-61,1,23,1,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
404,86,29-Nov-61,1,36,1,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,108,13-Sep-61,1,27,1,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
150,31,14-Nov-61,1,44,0,3,4,8,3,237.95218,53.694088,44.843037,0,2.4023056,1,0,174.10423,8.0076847,0,0,0
1237,20,13-Sep-61,0,40,1,5,9,11,5,910.06238,24.781887,513.93323,28.827665,0,4.25,0,380.61023,7.420455,0,2.9308126,0
993,92,24-Sep-61,1,19,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
810,135,15-Sep-60,1,27,1,3,5,8,3,74.36013,824.77118,219.41057,48.046108,8.0076847,0,0,48.009506,8.8084536,0,0,0
823,27,31-Aug-61,1,31,1,2,4,10,2,54.346535,20.651573,311.9794,35.233814,32.030739,0.40000001,0,44.31691,0.91421068,0,0,0
574,23,16-Oct-61,1,27,1,3,5,10,3,238.81929,0,68.065323,0,0,0,0,216.88014,26.905821,6.9781256,4.8846879,0
403,5,4-Oct-61,1,27,1,4,6,8,4,135.85191,111.51849,173.60661,16.015369,11.210759,0.5,0,101.39217,0.32030737,0,0,0
632,57,30-Nov-61,0,35,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,23,13-Sep-61,1,43,0,2,4,1,2,95.493553,4.1303144,140.93526,32.030739,0,0.5,0,80.946251,3.4433045,0,0,1
569,50,12-Oct-61,1,22,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
387,49,24-Nov-61,1,41,1,6,8,10,6,164.08061,86.736603,136.77126,0,0,0,0,115.40075,14.153584,3.4890628,6.9781256,0
533,101,16-Nov-61,1,20,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1
122,22,16-Nov-61,1,18,1,2,3,9,2,103.95654,22.375139,168.16139,28.827665,4.0038424,0.5,0,62.663567,0.64061475,0,0,0
554,30,1-Oct-61,1,38,1,5,8,9,5,154.33678,104.29825,128.92372,19.218445,0,1,0,123.05342,0.26291898,0,0,0
222,21,5-Nov-61,0,24,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
399,21,3-Sep-61,1,26,1,1,3,8,1,241.91978,22.375139,176.16907,32.030739,0,0,0,186.31595,8.0076847,0,5.5825005,0
1107,76,24-Oct-61,1,26,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1
1133,176,31-Oct-61,1,37,1,5,8,10,5,250.52615,478.47064,596.09204,80.076851,160.1537,2,0,140.26033,4.4843035,0,0,1
1152,18,14-Sep-61,1,23,1,4,6,14,4,91.617065,8.2606287,59.625221,0.048046108,0,1.2,0,72.66555,2.1353827,0,0,1
156,15,28-Sep-61,1,28,0,4,5,10,4,203.39902,571.42133,250.64053,32.030739,0.14413834,0.69999999,0,181.43126,34.673275,0,0,0
467,30,12-Oct-61,1,19,1,1,3,7,1,104.64709,22.375139,208.19981,40.038425,0,0.85000002,0,80.597351,0,0,0,0
1010,11,1-Sep-61,1,35,1,3,5,9,3,127.91324,4.1303144,375.56042,48.046108,0,0.5,0,91.878654,2.6692283,0,0,0
588,52,12-Oct-61,1,53,1,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
296,55,17-Nov-61,1,33,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,11-Sep-61,1,19,1,2,4,6,2,181.02325,4.1303144,133.72833,0,0,0.1,0,136.07346,5.765533,0,0,0
124,8,12-Oct-61,1,26,1,3,5,10,3,102.57426,0,184.17676,48.046108,0,0,0,92.692772,3.3365355,0,0,0
591,81,22-Nov-61,1,26,1,5,7,8,5,129.34222,422.36978,196.98904,16.015369,0,0.5,0,109.96363,11.544414,0,0,0
1179,19,15-Sep-61,1,49,0,1,2,14,1,269.44104,8.2606287,176.16907,40.038425,19.218445,1.8,0,65.338516,3.6568427,0,0,0
474,35,21-Nov-61,1,20,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
210,27,25-Nov-61,0,48.099998,0,5,6,9,5,187.13199,171.42671,122.35743,0,0,1,0,145.14502,14.013449,0,0,1
564,94,8-Aug-60,1,28,1,3,7,10,3,262.95905,0,176.96983,56.053795,0,1.5,0,158.75235,15.214602,0,0,0
534,89,24-Oct-61,1,21.299999,1,1,3,10,1,212.91862,275.72495,272.26129,32.030739,0,1.5,0,182.94318,17.883829,0,0,0
1270,114,5-Dec-61,1,42,1,0,3,9,0,232.61829,522.53772,267.45667,56.053795,128.12296,8,0,153.44899,10.682252,,,0
303,44,5-Nov-61,1,46,0,0,1,1,0,54.320702,22.375139,52.690567,0,22.421518,0.2,0,30.843315,0.64061475,8.3737497,2.6516876,0
749,125,27-Oct-61,1,24,1,2,4,9,2,389.32721,61.954716,161.75523,48.046108,0,0,0,334.22897,62.086254,0,0,0
456,71,31-Oct-61,1,30,1,2,4,10,2,171.86209,41.303146,163.35678,32.030739,32.030739,0.25,0,123.4663,5.8189178,0,0,0
121,7,11-May-60,1,45,1,4,4,9,4,122.57745,49.563774,201.63351,31.870586,176.71359,1,0,97.74028,5.4719181,0,0,0
1328,207,31-Oct-61,1,25,1,4,6,10,4,184.40555,20.651573,353.93967,64.061478,24.023054,1,0,142.81897,6.5129175,0,,1
164,15,30-Nov-61,0,19,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1
986,89,21-Sep-61,1,45,1,3,5,8,3,80.058929,0,96.092216,0,0,0,0,46.358013,0.13346142,10.467188,2.0934374,0
1052,63,13-Oct-61,1,40,0,1,3,5,1,127.00188,28.912201,183.37599,0,0,2,0,108.27725,5.0715342,0,0,0
634,48,25-Oct-61,0,37,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1
944,80,11-Oct-61,1,21,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1
277,57,14-Nov-61,1,30,1,6,8,7,6,166.11676,67.12542,283.47205,80.076851,0,1.5,0,127.65318,2.1353827,0,0,1
685,114,25-Oct-61,1,25,1,1,3,7,1,108.68221,0,252.24208,48.046108,0,2.5,0,49.195786,4.0038424,0,0,0
975,204,6-Nov-61,1,38,1,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,207,11-Nov-61,1,48,1,0,2,1,0,75.547546,0,86.162689,0,0,2,0,70.409286,0,0,,1
147,14,4-Jul-60,1,30,1,4,6,11,4,105.41451,8.2606287,20.980135,0,0,1.25,0,98.914932,3.0028818,0,0,0
1306,233,22-Nov-61,1,26,1,5,7,9,5,65.579132,229.25111,247.91792,20.819981,0,0,0,27.796202,0.85415304,0,0,0
786,115,1-Nov-61,1,37,1,8,10,10,8,179.04308,130.80371,16.816139,0,0,0,0,140.53946,0,0,0,0
145,30,1-Nov-60,0,28.200001,1,1,3,10,1,196.84987,4.1303144,418.00116,64.061478,0,0,0,135.72453,7.2069163,0,0,1
943,37,9-Oct-61,0,30,0,2,3,10,2,15.614985,4.1303144,44.202423,0,0,0,0,2.442344,0.56053793,0,0,0
85,17,12-Nov-61,0,25,1,1,3,8,1,116.23346,0,120.91605,24.023054,0,0,0,87.459175,1.3346142,0,0,1
783,138,1-Nov-61,1,55,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,10-Sep-61,1,38,1,5,7,8,5,100.07548,0,44.042267,0,0,0.75,0,82.71405,1.0943837,,2.0934374,0
1186,251,30-Nov-61,1,43,1,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1
292,60,8-Nov-60,1,32,0,2,3,10,2,117.75311,16.521257,31.229971,0,4.0038424,1,0,86.069359,0.10276529,0,0,0
769,144,14-Oct-60,1,23,1,3,5,8,3,103.32506,0,64.862251,19.218445,12.812296,6,0,78.34108,2.6692283,0,0,0
1370,78,24-Aug-60,1,35,1,2,4,6,2,52.37598,673.99603,277.86667,40.038425,32.030739,2.5,0,30.354847,1.2812295,0,0,1
261,26,12-Sep-61,1,22,1,3,6,7,3,133.27362,216.17699,134.52911,20.819981,0,3.5,0,106.47456,4.8179574,0,,0
1338,85,11-Oct-61,1,52,1,3,7,1,3,321.41168,418.23944,128.12296,40.038425,0,4,0,303.68802,51.249184,0,0,0
349,27,26-Oct-61,0,43,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
753,42,14-Jul-60,1,25,1,2,5,10,2,247.15512,99.127548,290.67896,64.061478,3.203074,1,0,192.39857,18.884794,,3.9077504,0
316,18,19-Oct-61,1,40,0,2,4,10,2,216.48471,57.824402,162.87631,16.015369,25.624592,2.25,0,175.77898,16.015369,0,0,0
559,99,1-Nov-61,1,20,1,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
501,83,23-Oct-61,1,26,1,2,4,9,2,210.71078,75.386055,186.57906,40.038425,0,2,0,148.51776,9.6626062,0,0,0
186,6,5-Sep-61,1,32,0,3,5,7,3,170.52298,0,87.283768,27.22613,32.030739,0.25,0,125.49577,10.096356,0,0,1
668,57,29-Sep-61,1,22,1,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
933,64,26-Oct-61,1,27,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,287,15-Nov-61,1,22,1,1,3,12,1,70.500427,0,378.28305,76.873779,0,0,0,55.499355,8.5415306,0,0,0
1007,167,23-Oct-61,1,39,0,6,7,9,6,205.48863,99.127548,330.71738,88.084534,4.4843035,1,0,146.19173,9.7693758,0,0,0
1118,206,3-Dec-61,1,24,1,2,4,4,2,119.26969,16.521257,202.59444,40.038425,1.601537,15.25,0,87.866226,4.8713417,0,0,1
660,54,28-Oct-61,1,31,0,3,5,10,3,290.43683,363.50497,448.43036,9.6092224,0,1,1,111.99892,9.2889156,0,0,0
190,28,28-Nov-61,1,23,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
940,141,22-Oct-61,1,23,1,2,4,8,2,127.51628,192.07828,145.57971,0,0,0,0,87.784821,8.0076847,0,0,0
394,60,1-Nov-61,0,42,0,3,4,14,3,143.94196,16.521257,117.39266,0,0,2.5,0,106.0675,9.6092234,2.0934374,0,1
1202,159,30-Oct-61,1,48,1,7,9,4,7,421.89917,594.11945,269.05823,0,0,1,0,341.05588,38.15662,0,8.3737497,1
1412,256,9-Nov-61,0,25,1,0,2,10,0,172.36732,0,67.264557,0,0,0,0,167.24242,4.2707653,0,0,0
1295,101,13-Sep-61,1,26,1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
96,8,19-Nov-61,1,17,1,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
920,179,16-Nov-61,1,33,1,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
643,63,10-Sep-61,1,19,1,3,7,11,3,520.39026,961.43182,1713.6445,104.09991,0,1.5,0,422.31613,61.531052,0,0,0
223,21,24-Sep-61,1,45,1,6,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,84,20-Nov-61,1,57,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
854,129,8-Oct-61,1,52,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
504,20,18-May-60,1,28,1,4,6,9,4,256.99902,171.42671,46.444572,32.030739,0,0,0,230.62704,25.624592,,,1
31,5,28-Sep-61,1,27,1,2,4,18,2,94.073517,57.824402,386.77118,72.069168,0,0,0,41.054638,3.7369196,0,0,1
250,42,22-Oct-61,1,37,1,4,7,9,4,89.975868,86.736603,60.538097,0,0,3.5,0,59.872314,8.1678391,0,0,1
1170,168,24-Sep-61,1,35,1,8,10,10,8,155.50734,351.11401,240.26257,36.83535,0,4,0,39.542709,0.50715339,0,0,0
1223,90,6-Sep-60,1,36,0,7,10,10,7,324.99457,400.67783,291.80005,49.647648,12.812296,0,0,290.80173,49.412754,0,0,0
196,9,5-Sep-61,0,53,0,0,1,8,0,61.728764,90.183739,102.01791,0,0,2.8,0,36.925915,3.9904964,0,3.4890628,0
1313,231,2-Nov-61,1,43,1,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,1
443,33,30-Nov-61,1,39,1,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,15,25-May-60,1,26,1,5,7,9,5,305.67624,66.08503,498.87878,80.076851,0,0,0,163.98596,4.0839195,11.165001,0,0
319,66,17-Nov-61,1,25,1,3,5,10,3,159.78343,0,32.030739,24.023054,0,1.75,0,107.11423,0,0,0,0
304,39,26-Nov-61,1,19,1,2,4,12,2,87.113693,26.505453,96.092216,0,0,1,0,69.990601,3.6034582,0,0,0
1372,228,23-Oct-61,1,27,1,4,7,10,4,186.37695,81.923103,105.70144,19.218445,4.8046112,0,0,141.30704,23.062132,0,0,0
384,32,9-Oct-61,1,28,0,3,4,9,3,109.86048,24.781887,187.37982,48.046108,0,0.5,0,89.622391,6.9399939,0,0,0
994,32,4-Sep-61,1,25,1,2,4,9,2,170.67349,16.521257,1067.9049,36.83535,0,0,0,159.63623,26.468067,0,0,0
802,13,13-Sep-61,1,48,0,4,8,9,4,376.53891,8.2606287,52.850719,0,0,0.75,0,347.4176,31.496893,0,0,1
714,57,10-Sep-61,1,27,1,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
302,15,8-Jun-60,1,24,1,1,3,10,1,199.47334,8.2606287,98.494522,24.023054,0,0,0,73.619225,3.203074,0,0,0
1203,181,9-Oct-61,1,63,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,42,16-Nov-61,1,45,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
313,20,12-Oct-61,1,18,1,2,3,10,2,95.602226,26.505453,75.27224,25.624592,35.233814,0,0,42.217663,0,0,0,0
269,19,26-Nov-61,1,62,1,3,5,9,3,166.44734,171.42671,451.63342,32.030739,0,0.5,0,125.95517,4.0038424,0,0,0
922,30,1-Sep-61,1,60,0,1,2,1,1,63.801613,33.042515,37.475967,0,0,1.5,0,34.704544,5.3384566,0,0.69781256,0
1178,198,22-Dec-61,1,26,1,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1
143,24,28-Dec-61,0,30,1,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
512,43,12-Oct-61,1,32,1,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,161,25-Sep-61,1,69,0,1,2,6,1,88.061081,0,53.971798,0,1.601537,1.7,0,47.81179,1.6682677,0,0,0
650,129,27-Nov-61,1,29,1,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,27-Sep-61,0,75,0,0,1,4,0,19.033123,0,28.827665,0,0,2,0,9.7693758,0,3.4890628,5.5825005,0
115,11,17-Sep-61,1,30,1,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,217,28-Nov-61,0,55,0,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
698,116,22-Oct-61,1,29,1,2,4,10,2,424.46069,38.8964,441.22345,72.069168,22.421518,0,0,319.13293,45.777264,0,0,1
1290,15,3-Oct-61,1,23,0,3,4,8,3,107.75865,20.651573,262.65207,73.6707,0,0,0,91.529739,0.66730708,0,0,0
1194,72,8-Oct-61,1,74,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
877,62,23-Aug-60,1,24,1,2,4,14,2,27.24062,0,102.49837,0,0,3.0999999,0,12.002377,0,6.280313,0,0
692,42,10-Oct-61,1,21,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,94,19-Sep-61,1,19,1,1,3,9,1,133.06866,384.15656,273.86282,0,0,1.5,0,90.948235,3.3365355,0,0,0
798,11,13-Oct-61,1,46,1,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
530,8,15-Oct-61,1,62,1,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
535,89,9-Aug-60,1,34.400002,1,6,8,10,6,175.11357,456.44662,285.7142,64.061478,80.076851,1.8,0,89.831726,7.4204545,0,0,1
89,18,12-Nov-61,1,20,1,2,4,7,2,190.37698,45.433456,171.2043,24.023054,20.819981,0,0,130.02574,5.3384566,0,0,0
1158,87,6-Dec-61,1,34,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,125,18-Sep-61,1,27,1,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0
880,21,23-Nov-61,1,27,1,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,4-Sep-61,1,20,1,3,5,10,3,115.51276,75.386055,1441.8638,48.046108,0,0.5,0,100.48501,4.0038424,0,0,0
946,173,6-Nov-61,1,25,1,4,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
411,56,22-Nov-61,1,69,1,3,6,7,3,360.15707,653.34448,292.12036,32.030739,16.015369,3,0,263.42426,42.120422,0,0,0
1090,181,25-Oct-61,1,48,0,5,8,8,5,117.40028,8.2606287,108.10374,0,0,0.5,0,62.454224,2.0019212,0,0,1
1087,95,25-Sep-61,1,37.700001,1,7,9,10,7,160.40347,226.84436,446.02805,25.624592,18.257523,1,0,135.25934,21.914366,0,0,0
700,46,3-Oct-61,1,22,1,3,5,9,3,65.479599,57.14122,195.70782,16.015369,0,0,0,53.708305,0.98761451,0,0,0
1395,70,3-Oct-61,1,19,1,1,3,10,1,180.31287,4.1303144,157.75139,0,0,0,0,132.74721,5.8989949,0,0,0
98,19,8-Nov-61,1,40,1,4,6,10,4,139.09216,539.06201,76.073006,0,0,1.5,0,110.69633,4.5376887,3.4890628,4.1868749,0
1325,79,11-Oct-61,1,26,0,4,6,10,4,80.299919,106.02181,183.37599,80.076851,0,0.25,0,61.174896,7.8742232,0,0,1
1187,172,30-Nov-61,1,27,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,168,12-Nov-61,1,35,1,1,3,12,1,184.12527,328.05267,58.776409,0,8.0076847,3,0,112.69672,3.203074,0,0,1
890,127,26-Sep-61,1,31,1,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,241,14-Nov-61,1,24,1,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
759,33,6-Sep-61,1,29,1,3,6,11,3,119.75111,404.80811,300.2081,108.90452,0,0.69999999,0,71.758392,3.3365357,0,0,0
181,10,31-Aug-61,1,63,1,2,5,10,2,78.821838,557.30682,85.361923,0,0,2,0,71.961922,11.102655,0,0,0
129,17,9-Aug-60,1,85,0,0,1,3,0,27.84272,0,0,0,0,5,0,27.144909,0,0,0.69781256,0
341,53,1-Nov-61,1,43,1,4,7,14,4,103.42802,714.61902,20.819981,0,0,2,0,87.575478,3.203074,0,0,0
246,41,24-Oct-61,0,34,1,6,10,9,6,209.64787,187.94797,232.22287,32.030739,0,0,0,133.45665,6.3661094,16.747499,0,0
1394,98,26-Nov-61,1,52,1,6,10,7,6,250.29144,140.7879,259.44901,36.83535,56.053795,0,0,138.66699,18.564482,0,0,0
1402,138,23-Nov-61,1,48,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,260,17-Nov-61,1,20,1,6,8,8,6,32.421207,0,131.32603,64.061478,0,0,0,23.586063,0,0,0,0
252,9,31-Aug-61,1,38,0,1,2,1,1,279.53879,8.2606287,73.190239,0,0,0.17,0,266.09918,48.900261,0,0,0
871,14,12-Jun-60,1,32,1,2,4,9,2,1431.6091,100.16794,269.85898,19.218445,0,1.5,0,1386.9663,8.6950102,0,0,0
1080,133,27-Oct-61,1,25,1,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1
611,24,12-Oct-61,1,35,1,2,4,10,2,198.22032,0,176.96983,0,0,2,0,96.274872,3.8703811,1.3956251,0,0
1159,237,8-Nov-61,1,44,1,6,9,9,6,294.78387,355.24435,274.6636,32.030739,0,0.5,0,252.95705,36.034584,0,0,0
224,23,13-Sep-61,1,40,0,5,6,5,5,62.433254,12.390944,68.866089,0,1.601537,0.25,0,49.660995,7.153532,0,0,0
263,24,5-Oct-61,0,53,0,2,3,8,2,128.96187,28.912201,119.31451,0,0,3,0,122.58241,10.997221,0,2.442344,0
151,15,12-Sep-61,1,47,0,8,12,4,8,201.93971,44.750278,239.75009,80.076851,0,0.25,0,175.22073,2.8026898,0,0,0
592,44,29-Nov-61,1,25,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
451,81,21-Nov-61,1,66,0,1,2,1,1,77.708099,0,49.647648,0,0,3.5,0,68.339111,5.9790716,0,0,0
706,60,16-Oct-61,1,44,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
140,28,10-Nov-61,1,35,1,4,6,14,4,68.591545,89.500557,169.12231,56.053795,0,0,0,52.335941,0,0,0,0
350,22,17-Oct-61,1,30,1,5,7,10,5,244.94365,706.3584,264.89423,64.061478,0,5,0,210.39049,37.63612,0,0,0
273,49,17-Nov-61,1,21,1,2,4,10,2,183.03279,28.912201,244.07423,112.10759,0,0.5,0,152.12314,7.3670702,0,0,0
506,104,8-Nov-60,1,28,1,4,6,9,4,49.018475,0,98.334373,25.624592,0,0,0,28.959221,2.0019212,0,0,0
785,113,25-Sep-61,1,57,1,1,5,1,1,87.85479,828.90149,356.34198,0,0,4,0,62.163467,0.65396088,0,0,0
1037,80,31-Dec-61,1,47,0,1,2,5,1,242.6893,689.83716,180.97368,32.030739,0,1,0,196.27141,37.903042,0,0,0
811,134,9-Aug-60,1,59,0,1,4,5,1,108.94074,26.505453,100.09606,32.030739,0,0.64999998,0,88.040688,13.079219,0,0,0
981,16,13-Sep-61,1,22,1,3,5,10,3,324.02679,28.912201,135.32988,14.413833,0,0,0,279.45065,25.250902,0,0,0
27,2,15-Oct-61,1,29,1,4,6,9,4,120.00584,30.635769,74.951935,12.011527,0,0,0,79.946053,0.66730708,0,2.9308126,0
459,44,26-Oct-61,1,60,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,85,26-Oct-61,0,51,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1
358,8,28-Sep-61,1,29,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,129,14-Sep-61,1,30,1,6,8,9,6,38.876358,202.06248,154.54832,0,0,0.5,0,28.319559,1.5348064,0,0,0
1043,173,22-Oct-61,1,76,0,5,7,1,5,200.04645,514.28009,14.413833,0,0,3,0,90.576065,0.80076849,0,0,0
1345,94,22-Nov-61,1,21,1,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,116,28-Sep-61,1,28,1,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
781,46,27-Sep-61,1,19,1,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
344,49,28-Sep-61,0,38,1,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0
833,53,13-Oct-61,1,27,1,3,5,10,3,156.86255,20.651573,160.1537,40.038425,0,2.8,0,49.172527,1.0676913,0,0,0
691,100,21-Sep-61,1,26,1,1,3,8,1,309.98129,12.390944,175.3683,0,0,0,0,212.3676,9.3422985,0,0,0
596,120,4-Oct-60,1,40,0,1,2,9,1,139.14307,241.64206,226.45734,0,16.015369,1.5,0,104.32298,7.6873775,0,0,0
1017,145,27-Sep-61,1,23,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,264,12-Nov-61,1,26,1,2,4,13,2,295.99341,363.50497,327.51431,64.061478,32.030739,1.5,0,212.48392,2.4023058,0,0,1
1055,198,13-Dec-61,1,27,1,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,1
1100,66,12-Oct-61,1,26,1,2,4,6,2,168.26663,216.17699,173.76677,0,0,0,0,91.553001,8.0076847,0,0,0
1130,37,6-Sep-61,1,35,0,0,1,9,0,69.080582,78.475975,271.14023,64.061478,16.015369,0.5,0,53.0919,0.33365354,0,0,0
